Key,Danish Description,English Description,Denmark
EDPOR,Spiselig andel,Edible proportion,Available
SPECGRAV,Spesifik tyngdekraft,Specific gravity,Available
SOLD,Totalt tørstof (g),Total solids (g),Available
NCF,Nitrogenomregningsfaktor,Nitrogen conversion factor,Available
GCF,Glycerolomregningsfaktor,Glycerol conversion factor,Available
WATER,Vand (g),Water (g),Available
TOTNIT,Totalt nitrogen (g),Total nitrogen (g),Available
PROT,Protein (g),Protein (g),Available
FAT,Fedt (g),Fat (g),Available
CHO,Kulhydrat (g),Carbohydrate (g),Available
KCALS,Energi (kcal),Energy (kcal),Available
KJ,Energi (kJ),Energy (kJ),Available
STAR,Stivelse (g),Starch (g),Available
OLIGO,Oligosakkarid (g),Oligosaccharide (g),Available
TOTSUG,Sukrose i alt (g),Total sugars (g),Available
GLUC,Glukose (g),Glucose (g),Available
GALACT,Galaktose (g),Galactose (g),Available
FRUCT,Fruktose (g),Fructose (g),Available
SUCR,Sukrose (g),Sucrose (g),Available
MALT,Maltose (g),Maltose (g),Available
LACT,Laktose (g),Lactose (g),Available
ALCO,Alkohol (g),Alcohol (g),Available
ENGFIB,Ikke-stivelses polysakkarid (NSP) (g),Non-starch polysaccharide (NSP) (g),Available
AOACFIB,AOAC fiber (g),AOAC fibre (g),Available
SATFAC,Mættede fedtsyrer pr. 100 g fedtsyre (g),Saturated fatty acids per 100g fatty acid (g),Available
SATFOD,Mættede fedtsyrer (g),Saturated fatty acids (g),Available
TOTn6PFAC,I alt n-6 flerumættede fedtsyrer pr. 100 g fedtsyre (g),Total n-6 polyunsaturated fatty acids per 100g fatty acid (g),Available
TOTn6PFOD,I alt n-6 flerumættede fedtsyrer (g),Total n-6 polyunsaturated fatty acids (g),Available
TOTn3PFAC,I alt n-3 flerumættede fedtsyrer pr. 100 g fedtsyre (g),Total n-3 polyunsaturated fatty acids per 100g fatty acid (g),Available
TOTn3PFOD,I alt n-3 flerumættede fedtsyrer (g),Total n-3 polyunsaturated fatty acids (g),Available
MONOFACc,cis-enkeltumættede fedtsyrer pr. 100 g fedtsyre (g),cis-Monounsaturated fatty acids per 100g fatty acid (g),Available
MONOFODc,cis-enkeltumættede fedtsyrer (g),cis-Monounsaturated fatty acids (g),Available
MONOFAC,enkeltumættede fedtsyrer pr. 100 g fedtsyre (g),Monounsaturated fatty acids per 100g fatty acid (g),Available
MONOFOD,enkeltumættede fedtsyrer (g),Monounsaturated fatty acids (g),Available
POLYFACc,cis-flerumættede fedtsyrer pr. 100 g fedtsyre (g),cis-Polyunsaturated fatty acids per 100g fatty acid (g),Available
POLYFODc,cis-flerumættede fedtsyrer (g),cis-Polyunsaturated fatty (g),Available
POLYFAC,flerumættede fedtsyrer pr. 100 g fedtsyre (g),Polyunsaturated fatty acids per 100g fatty acid (g),Available
POLYFOD,Flerumættede fedtsyrer pr. 100 g fedtsyre (g),Polyunsaturated fatty acids (g),Available
SATFACx6,Flerumættede fedtsyrer (g),Saturated fatty acids excluding branched per 100g fatty acid (g),Available
SATFODx6,Mættede fedtsyrer eksklusive forgrenede fedtsyrer pr. 100 g (g),Saturated fatty acids excluding branched (g),Available
TOTBRFAC,Mættede fedtsyrer syrer eksklusive forgrenede (g),Total branched chain fatty acids per 100g fatty acid (g),Available
TOTBRFOD,Samlede forgrenede fedtsyrer pr. 100 g fedtsyre (g),Total branched chain fatty acids (g),Available
FACTRANS,Samlede forgrenede fedtsyrer (g),Total trans fatty acids per 100g fatty acid (g),Available
FODTRANS,Samlede transfedtsyrer pr. 100 g fedtsyre (g),Total trans fatty acids (g),Available
CHOL,Samlede transfedtsyrer (mg),Cholesterol (mg),Available
NA,Natrium (mg),Sodium (mg),Available
K,Kalium (mg),Potassium (mg),Available
CA,Calcium (mg),Calcium (mg),Available
MG,Magnesium (mg),Magnesium (mg),Available
P,Fosfor (mg),Phosphorus (mg),Available
FE,Jern (mg),Iron (mg),Available
CU,Kobber (mg),Copper (mg),Available
ZN,Zink (mg),Zinc (mg),Available
CL,Klorid (mg),Chloride (mg),Available
MN,Mangan (mg),Manganese (mg),Available
SE,Selen (µg),Selenium (µg),Available
I,Jod (µg),Iodine (µg),Available
RET,Retinol (µg),Retinol (µg),Available
CAREQU,Caroten (µg),Carotene (µg),Available
RETEQU,Retinolækvivalent (µg),Retinol Equivalent (µg),Available
VITD,Total D-vitamin (µg),Total Vitamin D (µg),Available
VITE,Total E-vitamin (mg),Total Vitamin E (mg),Available
VITK1,Phylloquinon - Vitamin K1 (µg),Phylloquinone - Vitamin K1 (µg),Available
THIA,Thiamin (mg),Thiamin (mg),Available
RIBO,Riboflavin (mg),Riboflavin (mg),Available
NIAC,Niacin (mg),Niacin (mg),Available
TRYP60,Tryptophan/60 (mg),Tryptophan/60 (mg),Available
NIACEQU,Niacinækvivalent (mg),Niacin equivalent (mg),Available
VITB6,Vitamin B6 (mg),Vitamin B6 (mg),Available
VITB12,Vitamin B12 (µg),Vitamin B12 (µg),Available
FOLT,Folat (µg),Folate (µg),Available
PANTO,Pantothenat (mg),Pantothenate (mg),Available
BIOT,Biotin (µg),Biotin (µg),Available
VITC,C-vitamin (mg),Vitamin C (mg),Available
