New Field Name,Current Field Name,New Form Name,Current Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
,ae_end_date,,adverse_events,,text,Slutdato for hændelsen/bivirkning?,,,date_dmy,,,,[ae_ended] = '1',y,,,,,The end date of the adverse event. Repeated instrument.
,ae_ended,,adverse_events,,radio,Er hændelsen/bivirkningen slut?,"1, Ja | 2, Nej",,,,,,,y,,,,,Whether the incident/side effect is ended. Repeated instrument.
,ae_event,,adverse_events,,notes,Beskriv hændelsen/bivirkningen?,,,,,,,,y,,,,,Description of the adverse event. Repeated instrument.
,ae_grade,,adverse_events,,radio,"<div class=""rich-text-field-label""><p>Gradering</p></div>","1, Mild (Uden betydning for daglige aktiviteter. Kræver ingen behandling.) | 2, Moderat (Påvirker daglige aktiviteter i nogen grad. Kan kræve behandling, justering af interventionen eller kontakt til sundhedspersonale.) | 3, Svær (Klar påvirkning af daglige aktiviteter. Kræver lægelig vurdering, behandling eller medfører afbrydelse af interventionen.) | 4, Ikke relevant",,,,,,,y,,,,,Description of the severity of the complication. Repeated instrument.
,ae_md_date_signature,,adverse_events,,text,Dato for læges signatur,,,date_dmy,,,,,y,,,,,Date of signature from medical staff. Repeated instrument.
,ae_phase,,adverse_events,,radio,I hvilken fase er hændelsen/bivirkningen opstået? ,"1, Fase 1: Vægttabsfasen | 2, Fase 2: Opstart på diæt og træning | 3, Fase 3: Vedligeholdelsesfasen",,,,,,,y,,,,,Study phase in which the adverse event occurred. Repeated instrument.
,ae_physician_assessed,,adverse_events,,checkbox,Vurderet af læge (kun læge må sætte kryds i dette felt),"1, Signeret",,,,,,,y,,,,,Assessed by physician (only a physician may complete this field). Repeated instrument.
,ae_related_study,,adverse_events,,radio,Relation til forsøget,"1, Ja | 2, Nej | 3, Kan ikke udelukkes",,,,,,,y,,,,,Complication's relevance to the study. Repeated instrument.
,ae_related_study_exp,,adverse_events,,text,Uddyb relation til studiet,,,,,,,[ae_related_study] = '1' OR [ae_related_study] = '3',y,,,,,Description of how the adverse event is related to the study. Repeated instrument.
,ae_report_date,,adverse_events,,text,Dato hvor bivirkning er rapporteret. ,,,date_dmy,,,,,y,,,,,Report date of adverse event. Repeated instrument.
,ae_start,,adverse_events,,text,Startdato for hændelsen/bivirkning?,,,date_dmy,,,,,y,,,,,The beginning date of the adverse event. Repeated instrument.
,ae_type,,adverse_events,,radio,Type?,"1, Enkelt tilfælde | 2, Periodisk",,,,,,,y,,,,,Whether the adverse event is a single event or periodic event. Repeated instrument.
