form_name;variable_name;field_label;code;choice_label_dk;choice_label_uk;;;;
sefnc_baseline_v4;sefnc_when_tired;Hvor sikker er du på, at du kan følge din kost, når du er træt?;1;0%;0%;;;;
sefnc_baseline_v4;sefnc_during_crisis;Hvor sikker er du på, at du kan følge din kost under eller efter en personlig krise?;1;0%;0%;;;;
sefnc_baseline_v4;sefnc_when_depressed;Hvor sikker er du på, at du kan følge din kost, når du føler dig deprimeret?;1;0%;0%;;;;
sefnc_baseline_v4;sefnc_when_anxious;Hvor sikker er du på, at du kan følge din kost, når du føler dig ængstelig?;1;0%;0%;;;;
sefnc_baseline_v4;sefnc_on_vacation;Hvor sikker er du på, at du kan følge din kost, når du er på ferie?;1;0%;0%;;;;
sefnc_baseline_v4;sefnc_when_busy;Hvor sikker er du på, at du kan følge din kost, når du har meget arbejde at lave?;1;0%;0%;;;;
sefnc_baseline_v4;sefnc_when_missed_goals;Hvor sikker er du på, at du kan følge din kost, når du ikke har nået dine kostmål?;1;0%;0%;;;;
sefnc_baseline_v4;sefnc_no_support;Hvor sikker er du på, at du kan følge din kost, når du ikke får støtte fra familie/venner?;1;0%;0%;;;;
sefnc_baseline_v4;sefnc_busy_schedule;Hvor sikker er du på, at du kan følge din kost, når dit skema er hektisk (er ressource- og/eller tidskrævende)?;1;0%;0%;;;;
sefnc_week12_v6;sefnc_when_tired_v6;Hvor sikker er du på, at du kan følge din kost, når du er træt?;1;0%;0%;;;;
sefnc_week12_v6;sefnc_during_crisis_v6;Hvor sikker er du på, at du kan følge din kost under eller efter en personlig krise?;1;0%;0%;;;;
sefnc_week12_v6;sefnc_when_depressed_v6;Hvor sikker er du på, at du kan følge din kost, når du føler dig deprimeret?;1;0%;0%;;;;
sefnc_week12_v6;sefnc_when_anxious_v6;Hvor sikker er du på, at du kan følge din kost, når du føler dig ængstelig?;1;0%;0%;;;;
sefnc_week12_v6;sefnc_on_vacation_v6;Hvor sikker er du på, at du kan følge din kost, når du er på ferie?;1;0%;0%;;;;
sefnc_week12_v6;sefnc_when_busy_v6;Hvor sikker er du på, at du kan følge din kost, når du har meget arbejde at lave?;1;0%;0%;;;;
sefnc_week12_v6;sefnc_when_missed_goals_v6;Hvor sikker er du på, at du kan følge din kost, når du ikke har nået dine kostmål?;1;0%;0%;;;;
sefnc_week12_v6;sefnc_no_support_v6;Hvor sikker er du på, at du kan følge din kost, når du ikke får støtte fra familie/venner?;1;0%;0%;;;;
sefnc_week12_v6;sefnc_ubusy_schedule_v6;Hvor sikker er du på, at du kan følge din kost, når dit skema er hektisk (er ressource- og/eller tidskrævende)?;1;0%;0%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_when_tired_v10;Hvor sikker er du på, at du kan følge din kost, når du er træt?;1;0%;0%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_during_crisis_v10;Hvor sikker er du på, at du kan følge din kost under eller efter en personlig krise?;1;0%;0%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_when_depressed_v10;Hvor sikker er du på, at du kan følge din kost, når du føler dig deprimeret?;1;0%;0%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_when_anxious_v10;Hvor sikker er du på, at du kan følge din kost, når du føler dig ængstelig?;1;0%;0%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_on_vacation_v10;Hvor sikker er du på, at du kan følge din kost, når du er på ferie?;1;0%;0%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_when_busy_v10;Hvor sikker er du på, at du kan følge din kost, når du har meget arbejde at lave?;1;0%;0%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_when_missed_goals_v10;Hvor sikker er du på, at du kan følge din kost, når du ikke har nået dine kostmål?;1;0%;0%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_no_support_v10;Hvor sikker er du på, at du kan følge din kost, når du ikke får støtte fra familie/venner?;1;0%;0%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_ubusy_schedule_v10;Hvor sikker er du på, at du kan følge din kost, når dit skema er hektisk (er ressource- og/eller tidskrævende)?;1;0%;0%;;;;
sefnc_baseline_v4;sefnc_when_tired;Hvor sikker er du på, at du kan følge din kost, når du er træt?;2;10%;10%;;;;
sefnc_baseline_v4;sefnc_during_crisis;Hvor sikker er du på, at du kan følge din kost under eller efter en personlig krise?;2;10%;10%;;;;
sefnc_baseline_v4;sefnc_when_depressed;Hvor sikker er du på, at du kan følge din kost, når du føler dig deprimeret?;2;10%;10%;;;;
sefnc_baseline_v4;sefnc_when_anxious;Hvor sikker er du på, at du kan følge din kost, når du føler dig ængstelig?;2;10%;10%;;;;
sefnc_baseline_v4;sefnc_on_vacation;Hvor sikker er du på, at du kan følge din kost, når du er på ferie?;2;10%;10%;;;;
sefnc_baseline_v4;sefnc_when_busy;Hvor sikker er du på, at du kan følge din kost, når du har meget arbejde at lave?;2;10%;10%;;;;
sefnc_baseline_v4;sefnc_when_missed_goals;Hvor sikker er du på, at du kan følge din kost, når du ikke har nået dine kostmål?;2;10%;10%;;;;
sefnc_baseline_v4;sefnc_no_support;Hvor sikker er du på, at du kan følge din kost, når du ikke får støtte fra familie/venner?;2;10%;10%;;;;
sefnc_baseline_v4;sefnc_busy_schedule;Hvor sikker er du på, at du kan følge din kost, når dit skema er hektisk (er ressource- og/eller tidskrævende)?;2;10%;10%;;;;
sefnc_week12_v6;sefnc_when_tired_v6;Hvor sikker er du på, at du kan følge din kost, når du er træt?;2;10%;10%;;;;
sefnc_week12_v6;sefnc_during_crisis_v6;Hvor sikker er du på, at du kan følge din kost under eller efter en personlig krise?;2;10%;10%;;;;
sefnc_week12_v6;sefnc_when_depressed_v6;Hvor sikker er du på, at du kan følge din kost, når du føler dig deprimeret?;2;10%;10%;;;;
sefnc_week12_v6;sefnc_when_anxious_v6;Hvor sikker er du på, at du kan følge din kost, når du føler dig ængstelig?;2;10%;10%;;;;
sefnc_week12_v6;sefnc_on_vacation_v6;Hvor sikker er du på, at du kan følge din kost, når du er på ferie?;2;10%;10%;;;;
sefnc_week12_v6;sefnc_when_busy_v6;Hvor sikker er du på, at du kan følge din kost, når du har meget arbejde at lave?;2;10%;10%;;;;
sefnc_week12_v6;sefnc_when_missed_goals_v6;Hvor sikker er du på, at du kan følge din kost, når du ikke har nået dine kostmål?;2;10%;10%;;;;
sefnc_week12_v6;sefnc_no_support_v6;Hvor sikker er du på, at du kan følge din kost, når du ikke får støtte fra familie/venner?;2;10%;10%;;;;
sefnc_week12_v6;sefnc_ubusy_schedule_v6;Hvor sikker er du på, at du kan følge din kost, når dit skema er hektisk (er ressource- og/eller tidskrævende)?;2;10%;10%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_when_tired_v10;Hvor sikker er du på, at du kan følge din kost, når du er træt?;2;10%;10%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_during_crisis_v10;Hvor sikker er du på, at du kan følge din kost under eller efter en personlig krise?;2;10%;10%;;;;
selfefficacy_for_nutrition_change_sefnc_week_52;sefnc_when_depressed_v10;Hvor sikker er du på, at du kan følge din kost, når du føler dig deprimeret?;2;10%;10%;;;;
